Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Mikki Moore,Pre,1630,200506,1,1,4,2,25.0,53.2,-1.8,-1.8,-1.1,-1.1,42.2,2,1,8,3,0
Mikki Moore,Pre,1630,200607,5,12,22,24,54.6,113.5,2.8,0.6,6.1,1.2,93.1,4,80,70,56,37
Mikki Moore,Pre,1630,200708,7,14,40,28,35.0,73.9,-9.9,-1.4,-0.4,-0.1,69.0,18,7,14,7,4
Mikki Moore,Pre,1630,200809,7,17,30,34,56.7,118.2,5.2,0.7,9.6,1.4,117.4,2,86,71,56,84
Mikki Moore,Pre,1630,200910,7,16,26,33,63.5,130.5,7.7,1.1,12.6,1.8,140.4,1,95,81,60,97
Michael Olowokandi,Pre,1709,200506,5,24,52,48,46.2,98.3,-0.8,-0.2,8.3,1.7,114.6,82,41,41,57,74
Michael Olowokandi,Pre,1709,200607,4,2,5,4,40.0,83.2,-0.8,-0.2,-0.1,0.0,82.4,0,19,44,22,18
Mike Bibby,Pre,1710,200506,5,16,42,34,40.5,86.2,-5.4,-1.1,1.9,0.4,94.7,61,24,17,24,37
Mike Bibby,Pre,1710,200607,3,13,29,34,58.6,121.9,6.1,2.0,10.3,3.4,127.4,72,90,93,92,93
Mike Bibby,Pre,1710,200708,7,34,92,82,44.6,94.1,-5.1,-0.7,16.6,2.4,100.7,98,38,31,63,50
Mike Bibby,Pre,1710,200809,5,20,53,45,42.5,88.5,-5.8,-1.2,1.9,0.4,97.5,86,24,17,27,45
Mike Bibby,Pre,1710,200910,7,16,40,38,47.5,97.7,-0.9,-0.1,6.6,0.9,106.4,26,41,42,34,62
Mike Bibby,Pre,1710,201011,6,12,29,30,51.7,107.5,2.1,0.3,9.9,1.7,115.9,12,66,62,39,83
Mike Bibby,Pre,1710,201112,2,2,8,5,31.3,67.5,-2.4,-1.2,-0.7,-0.3,68.8,100,100,100,100,100
Raef LaFrentz,Pre,1711,200506,8,25,46,58,63.0,134.2,14.8,1.8,22.9,2.9,123.1,21,97,90,82,90
Raef LaFrentz,Pre,1711,200607,3,6,13,14,53.9,112.0,1.5,0.5,3.4,1.1,111.3,4,79,68,53,75
Raef LaFrentz,Pre,1711,200708,5,7,16,14,43.8,92.4,-1.2,-0.2,2.6,0.5,85.3,0,33,45,17,20
Antawn Jamison,Pre,1712,200506,6,21,72,44,30.6,65.1,-23.6,-3.9,-11.0,-1.8,72.8,91,4,1,1,9
Antawn Jamison,Pre,1712,200607,7,36,78,83,53.2,110.7,8.0,1.1,19.4,2.8,118.1,87,76,83,86,86
Antawn Jamison,Pre,1712,200708,6,22,61,47,38.5,81.4,-10.8,-1.8,3.6,0.6,81.0,80,14,6,18,13
Antawn Jamison,Pre,1712,200809,3,13,35,30,42.9,89.4,-3.6,-1.2,1.5,0.5,91.7,94,25,16,31,30
Antawn Jamison,Pre,1712,200910,5,30,61,66,54.1,111.3,6.7,1.3,18.0,3.6,106.1,95,74,84,93,61
Antawn Jamison,Pre,1712,201011,5,8,38,18,23.7,49.2,-18.6,-3.7,-8.3,-1.7,43.4,51,1,2,1,1
Antawn Jamison,Pre,1712,201112,2,8,25,18,36.0,77.8,-5.1,-2.6,0.3,0.1,78.7,100,100,100,100,100
Antawn Jamison,Pre,1712,201213,8,13,45,29,32.2,67.4,-14.0,-1.8,-4.1,-0.5,66.0,19,5,11,6,6
Antawn Jamison,Pre,1712,201314,6,11,35,26,37.1,78.4,-7.2,-1.2,-3.1,-0.5,73.8,24,12,17,15,8
Vince Carter,Pre,1713,200506,7,32,61,67,54.9,117.0,9.7,1.4,20.4,2.9,116.3,67,82,84,83,79
Vince Carter,Pre,1713,200607,6,37,80,79,49.4,102.7,2.1,0.3,13.7,2.3,97.4,98,58,64,79,47
Vince Carter,Pre,1713,200708,4,18,38,42,55.3,116.7,6.0,1.5,15.0,3.7,113.7,72,80,84,87,77
Vince Carter,Pre,1713,200809,5,27,53,59,55.7,116.1,8.2,1.6,15.9,3.2,115.6,86,82,90,92,81
