Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Detroit Pistons,Pre,1610612765,201314,8,260,604,576,47.7,100.6,3.6,0.5,73.6,9.2,96.7,7,67,67,67,37
Detroit Pistons,Pre,1610612765,201415,7,249,570,557,48.9,99.9,-0.5,-0.1,68.4,9.8,99.6,66,52,52,49,39
Detroit Pistons,Pre,1610612765,201516,8,301,665,679,51.1,106.6,42.2,5.3,184.5,23.1,106.0,63,90,90,94,87
Detroit Pistons,Pre,1610612765,201617,6,216,484,472,48.8,98.9,-5.4,-0.9,67.7,11.3,100.6,14,49,49,45,51
Detroit Pistons,Pre,1610612765,201718,5,202,437,447,51.1,100.8,3.6,0.7,99.6,19.9,103.6,70,57,57,60,66
Detroit Pistons,Pre,1610612765,201819,5,190,467,447,47.9,95.5,-21.2,-4.2,183.9,36.8,93.8,90,25,21,35,17
Charlotte Bobcats,Pre,1610612766,200506,6,202,492,427,43.4,92.4,-35.1,-5.9,51.4,8.6,94.6,90,7,4,7,16
Charlotte Hornets,Pre,1610612766,200506,6,202,492,427,43.4,92.4,-35.1,-5.9,51.4,8.6,94.6,90,7,4,7,16
Charlotte Bobcats,Pre,1610612766,200607,7,233,569,494,43.4,90.3,-53.1,-7.6,29.7,4.2,90.2,80,4,4,4,4
Charlotte Hornets,Pre,1610612766,200607,7,233,569,494,43.4,90.3,-53.1,-7.6,29.7,4.2,90.2,80,4,4,4,4
Charlotte Bobcats,Pre,1610612766,200708,6,206,467,442,47.3,99.9,-0.3,0.0,110.0,18.3,99.4,38,64,64,54,47
Charlotte Hornets,Pre,1610612766,200708,6,206,467,442,47.3,99.9,-0.3,0.0,110.0,18.3,99.4,38,64,64,54,47
Charlotte Bobcats,Pre,1610612766,200809,8,244,639,520,40.7,84.8,-92.9,-11.6,0.0,0.0,82.9,86,0,0,0,1
Charlotte Hornets,Pre,1610612766,200809,8,244,639,520,40.7,84.8,-92.9,-11.6,0.0,0.0,82.9,86,0,0,0,1
Charlotte Bobcats,Pre,1610612766,200910,8,249,579,537,46.4,95.4,-25.9,-3.2,81.8,10.2,92.4,4,21,25,11,7
Charlotte Hornets,Pre,1610612766,200910,8,249,579,537,46.4,95.4,-25.9,-3.2,81.8,10.2,92.4,4,21,25,11,7
Charlotte Bobcats,Pre,1610612766,201011,8,245,556,525,47.2,98.1,-9.9,-1.2,140.0,17.5,93.8,0,40,44,24,7
Charlotte Hornets,Pre,1610612766,201011,8,245,556,525,47.2,98.1,-9.9,-1.2,140.0,17.5,93.8,0,40,44,24,7
