Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,ShotSkill Percentile
San Antonio Spurs,Post,1610612759,200607,20,705,1535,1561,50.9,105.2,76.8,3.8,102.3,53,87,87,73
San Antonio Spurs,Post,1610612759,200708,17,604,1355,1336,49.3,101.9,24.9,1.5,101.1,67,80,80,58
San Antonio Spurs,Post,1610612759,200809,5,175,383,379,49.5,99.8,-0.8,-0.2,100.3,60,60,60,56
San Antonio Spurs,Post,1610612759,200910,10,364,785,776,49.4,99.7,-2.0,-0.2,101.0,47,60,60,66
San Antonio Spurs,Post,1610612759,201011,6,202,463,436,47.1,98.5,-6.9,-1.1,99.4,53,54,54,54
San Antonio Spurs,Post,1610612759,201112,14,531,1104,1194,54.1,113.7,143.7,10.3,109.8,53,100,100,100
San Antonio Spurs,Post,1610612759,201213,21,799,1725,1763,51.1,105.2,86.9,4.1,105.9,81,87,87,94
San Antonio Spurs,Post,1610612759,201314,23,914,1861,2031,54.6,108.1,153.0,6.7,108.5,54,94,94,100
San Antonio Spurs,Post,1610612759,201415,7,267,595,600,50.4,103.4,20.0,2.9,106.1,74,80,80,90
San Antonio Spurs,Post,1610612759,201516,10,387,825,856,51.9,104.9,39.6,4.0,106.7,54,80,80,86
San Antonio Spurs,Post,1610612759,201617,16,640,1386,1417,51.1,97.7,-32.7,-2.0,99.3,68,54,54,75
San Antonio Spurs,Post,1610612759,201718,5,173,419,388,46.3,89.4,-45.9,-9.2,93.2,54,0,1,2
Oklahoma City Thunder,Post,1610612760,200910,6,184,470,401,42.7,86.1,-64.9,-10.8,86.0,42,0,0,1
Oklahoma City Thunder,Post,1610612760,201011,17,600,1355,1307,48.2,100.9,11.1,0.7,99.1,67,67,67,49
Oklahoma City Thunder,Post,1610612760,201112,20,744,1599,1624,50.8,106.7,102.7,5.1,107.2,73,94,94,94
Oklahoma City Thunder,Post,1610612760,201213,11,383,898,861,47.9,98.7,-11.5,-1.0,98.2,74,60,67,67
