Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Caleb Swanigan,Post,1628403,20172020,1,0,2,0,0.0,0.0,-2.1,-2.1,-1.9,-1.9,0.0,0,0,9,9,0
P.J. Dozier,Post,1628408,20172022,9,14,33,30,45.5,85.1,-5.2,-0.6,0.7,0.1,89.8,6,15,37,37,26
Edmond Sumner,Post,1628410,20172021,2,2,7,4,28.6,53.5,-3.5,-1.7,-2.2,-1.1,56.5,5,0,15,15,0
Wes Iwundu,Post,1628411,20172022,9,12,38,31,40.8,78.3,-8.6,-1.0,-2.7,-0.3,74.3,12,10,26,26,6
Jonah Bolden,Post,1628413,20182020,7,5,19,14,36.8,72.5,-5.3,-0.8,-2.9,-0.4,68.4,2,7,32,32,5
Sindarius Thornwell,Post,1628414,20172021,2,2,6,5,41.7,82.0,-1.1,-0.5,-0.3,-0.2,75.5,3,16,37,37,9
Dillon Brooks,Post,1628415,20172022,16,110,269,253,47.0,88.5,-32.8,-2.1,5.4,0.3,89.8,85,30,31,31,35
Monte Morris,Post,1628420,20172022,48,174,386,387,50.1,94.8,-20.3,-0.4,39.2,0.8,99.3,40,39,41,41,49
Sterling Brown,Post,1628425,20172022,18,21,54,50,46.3,90.5,-5.4,-0.3,1.5,0.1,84.7,5,39,46,46,29
Vlatko Cancar,Post,1628427,20192022,3,5,6,12,100.0,187.9,5.6,1.9,6.5,2.2,193.9,1,100,92,92,100
